new index,기존 index,시장명,소재지지번주소,위도,경도,법정동코드,행정동코드,시도명,시군구명,읍면동명,5일장,복합장,상설장,점포수,공중화장실보유여부,주차장보유여부,운영기간,대형마트,주차장,지하철역,학교,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,공시지가,행정동 인구,행정동 인구 0 - 4세,행정동 인구 5 - 9세,행정동 인구 10 - 14세,행정동 인구 15 - 19세,행정동 인구 20 - 24세,행정동 인구 25 - 29세,행정동 인구 30 - 34세,행정동 인구 35 - 39세,행정동 인구 40 - 44세,행정동 인구 45 - 49세,행정동 인구 50 - 54세,행정동 인구 55 - 59세,행정동 인구 60 - 64세,행정동 인구 65 - 69세,행정동 인구 70 - 74세,행정동 인구 75 - 79세,행정동 인구 80 - 84세,행정동 인구 85 - 89세,행정동 인구 90 - 94세,행정동 인구 95 - 99세,행정동 인구 100+,행정시구 인구,행정시구 인구 0 - 4세,행정시구 인구 5 - 9세,행정시구 인구 10 - 14세,행정시구 인구 15 - 19세,행정시구 인구 20 - 24세,행정시구 인구 25 - 29세,행정시구 인구 30 - 34세,행정시구 인구 35 - 39세,행정시구 인구 40 - 44세,행정시구 인구 45 - 49세,행정시구 인구 50 - 54세,행정시구 인구 55 - 59세,행정시구 인구 60 - 64세,행정시구 인구 65 - 69세,행정시구 인구 70 - 74세,행정시구 인구 75 - 79세,행정시구 인구 80 - 84세,행정시구 인구 85 - 89세,행정시구 인구 90 - 94세,행정시구 인구 95 - 99세,행정시구 인구 100+,시도별 소득월액,농산물이 주요품목
1873,2800,묵호시장,강원도 동해시 묵호진동 15-61,37.55235,129.1142,4217012300,4217059000,강원도,동해시,묵호동,0,0,1,45,0,0,51,0,31,0,1,9,1,0,6,205,35,199733,3184,42,62,70,96,117,88,60,121,191,218,239,257,363,339,296,285,213,91,22,8,6,90593,2660,3965,4185,4632,5136,4283,3731,5502,6582,7987,8107,7531,7999,5906,4271,3811,2510,1240,406,118,31,1281849,1
1134,1360,노룬산골목시장(인정시장),서울특별시 광진구 자양동 681-37,37.53218,127.0862,1121510500,1121583000,서울특별시,광진구,자양제2동,0,0,1,46,1,1,51,2,67,2,9,75,3,6,2,1004,146,5229834,25641,728,900,886,1003,1670,2189,1935,1999,1969,2070,2156,2127,2098,1512,969,725,405,191,76,20,13,346682,8351,11221,12237,13694,26193,36747,29113,26870,24874,27608,28122,26419,24922,17538,12852,9576,6105,2745,990,287,218,1368980,1
849,942,제일시장,"서울특별시 은평구 대조동 14-1, 14-21",37.61048,126.9292,1138010600,1138057000,서울특별시,은평구,대조동,0,0,1,46,0,0,51,3,38,4,7,67,1,6,3,811,149,5118417,27240,519,673,729,928,1934,2962,2221,1970,1963,2145,2136,2004,2070,1465,1320,1071,721,278,82,27,22,479835,12839,16865,18077,20599,29682,37376,32478,36024,35746,40882,39783,37491,36983,27455,22013,17108,11055,4842,1658,454,425,1358067,1
1763,2604,수원가구거리상점가,경기도 수원시 권선구 권선동 1029-1,37.25894,127.0266,4111313700,4111367000,경기도,수원시 권선구,권선1동,0,0,1,50,0,0,51,3,96,1,8,127,6,7,2,1578,227,2025400,24858,622,685,813,921,1851,3190,2459,2017,1725,1975,2070,2130,1753,1024,658,432,309,154,60,7,3,368645,14355,18157,16481,16998,24430,30073,26707,31456,30593,31092,31755,30336,24805,15171,10223,7253,4953,2549,935,228,95,1369055,0
1193,1445,노룬산골목시장,서울특별시 광진구 자양동 44-2,37.53642,127.0649,1121510500,1121584700,서울특별시,광진구,자양제4동,0,0,1,52,1,0,51,2,68,3,8,94,3,16,8,1523,374,5229834,17810,335,375,365,514,1050,1657,1332,1280,1132,1336,1450,1670,1700,1292,970,649,427,181,64,14,17,346682,8351,11221,12237,13694,26193,36747,29113,26870,24874,27608,28122,26419,24922,17538,12852,9576,6105,2745,990,287,218,1368980,1
1593,2306,청량종합도매시장(깡통시장),서울특별시 동대문구 제기동 846-38,37.58191,127.0403,1123010300,1123054500,서울특별시,동대문구,제기동,0,0,1,53,0,1,51,3,81,6,8,68,5,11,4,1147,185,4330671,24994,488,546,609,787,2060,2355,1649,1619,1445,1691,1949,1897,2181,1746,1485,1147,788,370,119,36,27,342837,9517,11271,11058,12589,26031,30300,24435,25740,24284,26346,27119,26143,26392,20001,15615,12580,7851,3670,1220,362,313,1387911,1
503,535,옹달샘시장,충청북도 충주시 지현동 1431,36.96452,127.9328,4313012500,4313056000,충청북도,충주시,지현동,0,0,1,53,1,1,51,1,43,0,8,32,2,5,4,566,96,325550,5259,79,167,219,262,305,271,220,224,321,412,476,485,498,378,296,291,229,84,33,6,3,210186,6209,8372,9139,9744,12300,12105,10499,12838,14109,16831,18700,18932,18556,13181,8940,8489,6541,3340,1042,249,70,1259422,0
1573,2259,영진시장(A동),서울특별시 영등포구 신길 6동 2365번지,37.50037,126.916,1156013200,1156068000,서울특별시,영등포구,신길제6동,0,0,1,56,1,0,51,3,50,2,14,62,4,4,2,618,119,3853175,18071,484,532,460,647,1164,1927,1535,1404,1181,1303,1428,1393,1444,1121,842,543,398,176,55,21,13,379480,12788,13048,11444,12834,21920,37156,35791,33454,27931,28507,28741,28190,27013,20059,15723,11657,7628,3711,1236,362,287,1438335,1
1890,2832,군포역전시장,경기도 군포시 당동 749-41,37.35407,126.9469,4141010100,4141051000,경기도,군포시,군포1동,0,0,1,57,0,0,51,2,58,1,5,54,2,2,1,562,80,2480051,33793,909,1085,1180,1497,2418,3039,2271,2382,2275,2810,3260,3313,2806,1727,1119,789,510,259,110,22,12,273791,8899,11731,12653,14001,17869,20363,18297,19961,20549,23971,24450,23752,20879,12480,8540,6584,4814,2718,980,222,78,1392112,1
902,1015,백운시장,서울특별시 도봉구 쌍문동 495-9,37.65564,127.0156,1132010500,1132066000,서울특별시,도봉구,쌍문제1동,0,0,1,57,0,0,51,1,21,3,10,30,0,3,6,307,72,2781676,21790,483,708,684,934,1510,1583,1251,1347,1422,1823,1863,1829,1925,1408,1102,959,587,248,92,16,16,325257,7915,10860,11703,13924,20408,23004,19259,21734,21965,26570,28731,28289,28886,20854,15522,12184,7862,3741,1354,317,175,1342237,1
